"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
25	0.974657064117024	11	20	"CO2"	0
26	0.984206238838578	7	20	"CO2"	0
27	0.983307868601986	9	20	"CO2"	0
28	0.980818234466783	8	20	"CO2"	0
29	0.97595701933771	10	20	"CO2"	0
30	0.975021558171867	9	20	"CO2"	0
1	0.979111091914305	12	21	"CO2"	0
2	0.981206606353882	10	21	"CO2"	0
3	0.984006027338284	6	21	"CO2"	0
4	0.980364455364455	8	21	"CO2"	0
5	0.971969058543234	9	21	"CO2"	0
6	0.983169236817183	13	21	"CO2"	0
7	0.973896032515151	9	21	"CO2"	0
8	0.981262487034368	15	21	"CO2"	0
9	0.978997316921475	10	21	"CO2"	0
10	0.96214752894851	6	21	"CO2"	0
11	0.974285897271679	9	21	"CO2"	0
12	0.967966396391744	6	21	"CO2"	0
13	0.972677585975425	9	21	"CO2"	0
14	0.972387826368005	9	21	"CO2"	0
15	0.98360787005262	9	21	"CO2"	0
16	0.989564289280242	7	21	"CO2"	0
17	0.984145382146761	8	21	"CO2"	0
18	0.986244694586877	12	21	"CO2"	0
19	0.972906330113795	9	21	"CO2"	0
20	0.985794211633434	8	21	"CO2"	0
